State,Field,Money,,,,,,,,,,,,,,,,,,,,,,
New South Wales,"Agricultural, Veterinary and Food Sciences",182386,,,,,,,,,,,,,,,,,,,,,,
Victoria,"Agricultural, Veterinary and Food Sciences",136537,,,,,,,,,,,,,,,,,,,,,,
Queensland,"Agricultural, Veterinary and Food Sciences",189667,,,,,,,,,,,,,,,,,,,,,,
South Australia,"Agricultural, Veterinary and Food Sciences",45757,,,,,,,,,,,,,,,,,,,,,,
Western Australia,"Agricultural, Veterinary and Food Sciences",53505,,,,,,,,,,,,,,,,,,,,,,
Tasmania,"Agricultural, Veterinary and Food Sciences",27562,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,"Agricultural, Veterinary and Food Sciences",3961,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,"Agricultural, Veterinary and Food Sciences",8576,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Biological Sciences,267676,,,,,,,,,,,,,,,,,,,,,,
Victoria,Biological Sciences,321257,,,,,,,,,,,,,,,,,,,,,,
Queensland,Biological Sciences,243490,,,,,,,,,,,,,,,,,,,,,,
South Australia,Biological Sciences,103877,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Biological Sciences,75184,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Biological Sciences,21896,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Biological Sciences,5302,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Biological Sciences,49128,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Biomedical and Clinical Sciences,1089414,,,,,,,,,,,,,,,,,,,,,,
Victoria,Biomedical and Clinical Sciences,1008350,,,,,,,,,,,,,,,,,,,,,,
Queensland,Biomedical and Clinical Sciences,443752,,,,,,,,,,,,,,,,,,,,,,
South Australia,Biomedical and Clinical Sciences,265065,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Biomedical and Clinical Sciences,301736,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Biomedical and Clinical Sciences,27711,,,,,,,,,,,,,,,,,,,,,,
